"","Bankruptcy_Rate","Unemployment_Rate","U_Pop","U9","House_Price_Index","H7"
"148",0.0227704,6.7,204791804.7,7.6,67.7,66.8
"149",0.0256519,6.7,204981347.7,7.4,67.9,66.9
"150",0.0259977,6.8,208228994.8,7.5,67.9,67.1
"151",0.0213959,6.7,205359676.6,7.2,68.1,67.3
"152",0.0244847,7,214791619,6.9,68.2,67.3
"153",0.0243204,7,215062281,6.7,68.4,67.5
"154",0.0252692,7,215325691,6.8,68.5,67.6
"155",0.0252397,7,215521733,6.8,68.8,67.7
"156",0.0181836,6.8,209456517.2,6.9,68.8,67.9
"157",0.0230709,6.9,212584763.4,6.7,69,67.9
"158",0.0238252,7,215742492,6.7,69.2,68.1
"159",0.0274972,7.1,218986599.3,6.8,69.4,68.2
"160",0.0247442,7.1,219219209.5,6.7,69.6,68.4
"161",0.0270352,7,216381011,7,69.7,68.5
"162",0.025936,7.2,222807247.2,7,69.9,68.8
"163",0.0230476,7.2,223051557.6,7,70.1,68.8
"164",0.0254337,7.2,223329060,7,70.2,69
"165",0.0237113,7.3,226746095.7,6.8,70.4,69.2
"166",0.0286307,7.5,233272095,6.9,70.4,69.4
"167",0.0272945,7.6,236622177.2,7,70.6,69.6
"168",0.0214506,8,249204944,7.1,70.8,69.7
"169",0.0245614,8,249269520,7.1,71,69.9
"170",0.0244056,7.9,246235337,7,71.4,70.1
"171",0.0256368,7.9,246397113.2,7.2,71.7,70.2
"172",0.0269867,7.7,240386815.9,7.2,72.1,70.4
"173",0.0265615,7.7,240640738.8,7.2,72.6,70.4
"174",0.0234301,7.6,237762792.8,7.3,72.7,70.6
"175",0.023926,7.7,241144003.1,7.5,72.9,70.8
"176",0.0241697,7.4,232014656.8,7.6,73.2,71
"177",0.025284,7.5,235435890,8,73.3,71.4
"178",0.0274417,7.5,235699882.5,8,73.7,71.7
"179",0.0243994,7.4,232741322,7.9,74.2,72.1
"180",0.0214258,7.5,235966005,7.9,74.4,72.6
"181",0.0241722,7.4,232847438,7.7,74.6,72.7
"182",0.0267467,7.4,232900377.6,7.7,75,72.9
"183",0.0283828,7.4,233033022.6,7.6,75.1,73.2
"184",0.0283203,7.6,239536936.8,7.7,75.4,73.3
"185",0.0274216,7.9,249229918.9,7.4,75.8,73.7
"186",0.027349,7.7,243143007.8,7.5,76,74.2
"187",0.0265835,7.7,243366677.4,7.5,76.3,74.4
"188",0.0239484,7.8,246782897.4,7.4,76.7,74.6
"189",0.0271979,7.9,250234585.6,7.5,77,75
"190",0.029829,7.5,237830272.5,7.4,77.4,75.1
"191",0.0258301,7.4,234862324.8,7.4,77.9,75.4
"192",0.0231659,7.4,234976284.8,7.4,78.1,75.8
"193",0.0231404,7.4,235043299.2,7.6,78.4,76
"194",0.0271265,7.4,235122841.8,7.9,78.7,76.3
"195",0.0324609,7.3,232082235.1,7.7,78.9,76.7
"196",0.0285469,7.2,229087936.8,7.7,79.6,77
"197",0.0262605,7.2,229293828,7.8,80.2,77.4
"198",0.0278398,7.3,232688872.4,7.9,80.8,77.9
"199",0.0238424,7,223337667,7.5,80.9,78.1
"200",0.0247966,7,223579174,7.4,81.3,78.4
"201",0.0263556,7,223845776,7.4,81.5,78.7
"202",0.0262317,7.1,227304164.1,7.4,81.7,78.9
"203",0.0275289,7.2,230707728,7.4,82,79.6
"204",0.0228867,7.1,227611295.9,7.3,82.2,80.2
"205",0.0232271,7,224461734,7.2,82.4,80.8
"206",0.0269401,7.1,227731285.9,7.2,82.7,80.9
"207",0.0292886,6.9,221427803.4,7.3,83,81.3
"208",0.0298743,6.7,215167645.8,7,83.4,81.5
"209",0.0280097,6.9,221782773.9,7,83.9,81.7
"210",0.0280705,6.8,218773238,7,84.5,82
"211",0.0230891,6.6,212557818,7.1,84.7,82.2
"212",0.0260883,6.7,216037245.5,7.2,85,82.4
"213",0.0266796,6.7,216322049.1,7.1,85.5,82.7
"214",0.0266987,6.7,216593955.2,7,86.1,83
"215",0.0284969,6.3,203855053.5,7.1,86.5,83.4
"216",0.0223731,6.6,213666340.8,6.9,87.1,83.9
"217",0.0234207,6.6,213719154,6.7,87.9,84.5
"218",0.0254418,6.4,207306566.4,6.9,88.4,84.7
"219",0.0296411,6.3,204189545.7,6.8,89.3,85
"220",0.0250531,6.3,204365870.1,6.6,90.4,85.5
"221",0.0266087,6,194822982,6.7,91.5,86.1
"222",0.0258107,6.1,198263389.5,6.7,92.8,86.5
"223",0.0220191,6.3,204974998.2,6.7,93.8,87.1
"224",0.0253724,6.4,208479084.8,6.3,95.2,87.9
"225",0.0252273,6.4,208761836.8,6.6,95.7,88.4
"226",0.0266936,6.2,202505423,6.6,95.9,89.3
"227",0.0266539,6.3,205980698.7,6.4,96.4,90.4
"228",0.0209018,6.1,199551599.7,6.3,96.4,91.5
"229",0.0242142,6.2,202883889.6,6.3,96.8,92.8
"230",0.0250031,6.2,202954092.2,6,97.2,93.8
"231",0.0282168,6.1,199805829.4,6.1,97.6,95.2
"232",0.0261872,6.1,199984553.3,6.3,98.4,95.7
"233",0.0285341,6,196906344,6.4,99.4,95.9
"234",0.0255982,6,197112396,6.4,100,96.4
"235",0.0238893,6.1,200618257.9,6.2,101,96.4
"236",0.0263159,6,197574192,6.3,101.4,96.8
"237",0.0243803,5.9,194542658.8,6.1,101.7,97.2
"238",0.0280948,5.9,194795951.7,6.2,101.8,97.6
"239",0.0274253,6,198303714,6.2,102.3,98.4
"240",0.0201615,6,198432732,6.1,102.4,99.4
"241",0.0250647,5.9,195209347,6.1,103,100
"242",0.0276458,5.9,195294944.2,6,103.3,101
"243",0.0262723,6,198733962,6,103.6,101.4
"244",0.0308222,6.1,202223613.2,6.1,103.6,101.7
"245",0.0285662,6.1,202435277.1,6,103.5,101.8
"246",0.0270519,6,199349778,5.9,103.6,102.3
"247",0.0286884,6.1,202933903.3,5.9,103.7,102.4
"248",0.0263779,6.1,203226270.2,6,103.7,103
"249",0.0318529,6.2,206868604.8,6,103.7,103.3
"250",0.0343697,6.2,207161399.8,5.9,103.3,103.6
"251",0.0316559,6.5,217427099.5,5.9,103,103.6
"252",0.0296473,6.8,227619643.6,6,102.9,103.5
"253",0.0304815,7.4,247819591.6,6.1,102.2,103.6
"254",0.0349375,8,268044648,6.1,101.5,103.7
"255",0.0406471,8.1,271593777.6,6,101,103.7
"256",0.0411709,8.2,275212893.6,6.1,100.5,103.7
"257",0.0376177,8.5,285587819.5,6.1,100.3,103.3
"258",0.0410042,8.6,289265601,6.2,100.1,103
"259",0.0388748,8.6,289602497.4,6.2,100.4,102.9
"260",0.0356858,8.7,293357936.1,6.5,100.5,102.2
"261",0.0457978,8.2,276898305.2,6.8,100.9,101.5
"262",0.0368357,8.3,280665985.7,7.4,101.2,101
"263",0.0357764,8.4,284356858.8,8,101.6,100.5
"264",0.0317768,8.5,287924954,8.1,101.9,100.3
"265",0.029563,8.3,281257626.3,8.2,102.3,100.1
"266",0.0325692,8.2,277979491.6,8.5,102.4,100.4
"267",0.0377229,8.2,278157849.8,8.6,102.7,100.5
"268",0.0366266,8.1,275011337.7,8.6,102.9,100.9
"269",0.0327276,8.1,275296133.7,8.7,103.3,101.2
"270",0.0349727,7.9,268794648.1,8.2,103.4,101.6
"271",0.0304477,8,272516120,8.3,103.3,101.9
"272",0.03102,8.1,276278372.1,8.4,103.4,102.3
"273",0.0333156,8,273238280,8.5,103.6,102.4
"274",0.0334606,7.8,266764968.6,8.3,103.6,102.7
"275",0.0350488,7.6,260234374,8.2,103.9,102.9
"276",0.0289219,7.6,260468826.4,8.2,104,103.3
